2022-07-19-18-58: epoch: 12 |tot 8.507928 | hm 0.856309 | wh 1.439881 | reg 0.226619 | dep 1.307309 | dep_sec 1.743215 | dim 0.151253 | rot 1.507798 | rot_sec 1.527623 | amodel_offset 0.714390 | nuscenes_att 0.139375 | velocity 0.190049 | time 2.266667 | tot 7.409707 | hm 0.807982 | wh 1.423425 | reg 0.221305 | dep 0.944834 | dep_sec 1.183005 | dim 0.141089 | rot 1.466075 | rot_sec 1.488163 | amodel_offset 0.687176 | nuscenes_att 0.116609 | velocity 0.211126 | time 2.833333 | 
2022-07-19-19-04: epoch: 13 |tot 8.826746 | hm 0.855524 | wh 1.434815 | reg 0.228632 | dep 1.273915 | dep_sec 2.133003 | dim 0.151580 | rot 1.497927 | rot_sec 1.516668 | amodel_offset 0.707108 | nuscenes_att 0.129190 | velocity 0.189717 | time 2.266667 | tot 7.419714 | hm 0.781563 | wh 1.373309 | reg 0.221032 | dep 0.968366 | dep_sec 1.278908 | dim 0.134153 | rot 1.462295 | rot_sec 1.479740 | amodel_offset 0.635587 | nuscenes_att 0.112374 | velocity 0.208366 | time 2.833333 | 
2022-07-19-19-10: epoch: 14 |tot 8.166120 | hm 0.839439 | wh 1.448098 | reg 0.226735 | dep 1.189374 | dep_sec 1.579867 | dim 0.148371 | rot 1.504982 | rot_sec 1.518364 | amodel_offset 0.691063 | nuscenes_att 0.125166 | velocity 0.197949 | time 2.266667 | tot 7.170297 | hm 0.795217 | wh 1.377485 | reg 0.219488 | dep 0.900257 | dep_sec 1.027277 | dim 0.139758 | rot 1.469221 | rot_sec 1.486048 | amodel_offset 0.679273 | nuscenes_att 0.110991 | velocity 0.205019 | time 2.883333 | 
2022-07-19-19-15: epoch: 15 |tot 8.295276 | hm 0.819672 | wh 1.327694 | reg 0.225330 | dep 1.209073 | dep_sec 1.773476 | dim 0.148615 | rot 1.497501 | rot_sec 1.515423 | amodel_offset 0.651613 | nuscenes_att 0.129509 | velocity 0.192294 | time 2.266667 | tot 7.210227 | hm 0.775587 | wh 1.385969 | reg 0.220218 | dep 0.954997 | dep_sec 1.094703 | dim 0.133174 | rot 1.455833 | rot_sec 1.480398 | amodel_offset 0.647695 | nuscenes_att 0.104849 | velocity 0.204178 | time 2.783333 | 
2022-07-19-19-21: epoch: 16 |tot 8.567796 | hm 0.803642 | wh 1.365546 | reg 0.227641 | dep 1.294569 | dep_sec 1.987289 | dim 0.144880 | rot 1.498996 | rot_sec 1.522057 | amodel_offset 0.638452 | nuscenes_att 0.123828 | velocity 0.189887 | time 2.266667 | tot 10.670549 | hm 0.777342 | wh 1.511229 | reg 0.220295 | dep 1.046598 | dep_sec 4.447318 | dim 0.132441 | rot 1.459697 | rot_sec 1.480577 | amodel_offset 0.651012 | nuscenes_att 0.102328 | velocity 0.201818 | time 2.783333 | 
2022-07-19-19-27: epoch: 17 |tot 8.862223 | hm 0.815248 | wh 1.378908 | reg 0.225388 | dep 1.381195 | dep_sec 2.202249 | dim 0.146983 | rot 1.487188 | rot_sec 1.499831 | amodel_offset 0.669033 | nuscenes_att 0.111828 | velocity 0.185389 | time 2.266667 | tot 9.371278 | hm 0.770837 | wh 1.422697 | reg 0.220752 | dep 0.907282 | dep_sec 3.333902 | dim 0.132846 | rot 1.443111 | rot_sec 1.454788 | amodel_offset 0.662202 | nuscenes_att 0.097478 | velocity 0.205810 | time 2.750000 | 
2022-07-19-19-32: epoch: 18 |tot 8.355295 | hm 0.817548 | wh 1.381448 | reg 0.225652 | dep 1.144064 | dep_sec 1.887976 | dim 0.146078 | rot 1.483243 | rot_sec 1.496100 | amodel_offset 0.718372 | nuscenes_att 0.110574 | velocity 0.187544 | time 2.266667 | tot 6.943847 | hm 0.782569 | wh 1.413636 | reg 0.219920 | dep 0.809752 | dep_sec 0.956399 | dim 0.133222 | rot 1.456086 | rot_sec 1.469876 | amodel_offset 0.679255 | nuscenes_att 0.098227 | velocity 0.197178 | time 2.733333 | 
2022-07-19-19-38: epoch: 19 |tot 8.627185 | hm 0.822938 | wh 1.320125 | reg 0.222973 | dep 1.218015 | dep_sec 2.155592 | dim 0.142983 | rot 1.479885 | rot_sec 1.496330 | amodel_offset 0.647278 | nuscenes_att 0.112416 | velocity 0.196763 | time 2.266667 | tot 7.499095 | hm 0.766000 | wh 1.402095 | reg 0.220684 | dep 0.985155 | dep_sec 1.479223 | dim 0.129566 | rot 1.440180 | rot_sec 1.447376 | amodel_offset 0.602018 | nuscenes_att 0.094171 | velocity 0.194513 | time 2.733333 | 
2022-07-19-19-43: epoch: 20 |tot 8.398788 | hm 0.807541 | wh 1.332719 | reg 0.221453 | dep 1.220135 | dep_sec 1.980584 | dim 0.143484 | rot 1.471241 | rot_sec 1.482122 | amodel_offset 0.633844 | nuscenes_att 0.111807 | velocity 0.193304 | time 2.266667 | tot 7.772870 | hm 0.737532 | wh 1.346475 | reg 0.219731 | dep 0.964945 | dep_sec 1.781108 | dim 0.130807 | rot 1.438278 | rot_sec 1.454154 | amodel_offset 0.627793 | nuscenes_att 0.090881 | velocity 0.192994 | time 2.750000 | 
2022-07-19-19-49: epoch: 21 |tot 7.767432 | hm 0.788469 | wh 1.307649 | reg 0.223115 | dep 1.098645 | dep_sec 1.505952 | dim 0.141679 | rot 1.470946 | rot_sec 1.481103 | amodel_offset 0.632532 | nuscenes_att 0.109785 | velocity 0.184439 | time 2.266667 | tot 7.112352 | hm 0.733158 | wh 1.402866 | reg 0.219510 | dep 0.825322 | dep_sec 1.277133 | dim 0.128013 | rot 1.434331 | rot_sec 1.440510 | amodel_offset 0.624102 | nuscenes_att 0.092250 | velocity 0.197737 | time 2.716667 | 
2022-07-19-19-54: epoch: 22 |tot 7.718569 | hm 0.780096 | wh 1.270914 | reg 0.221232 | dep 1.068549 | dep_sec 1.536784 | dim 0.138844 | rot 1.469307 | rot_sec 1.473524 | amodel_offset 0.601637 | nuscenes_att 0.111962 | velocity 0.189543 | time 2.266667 | tot 6.772273 | hm 0.713268 | wh 1.309698 | reg 0.217889 | dep 0.760927 | dep_sec 1.058521 | dim 0.127278 | rot 1.427239 | rot_sec 1.438640 | amodel_offset 0.590317 | nuscenes_att 0.108659 | velocity 0.198567 | time 2.716667 | 
2022-07-19-20-00: epoch: 23 |tot 7.454273 | hm 0.768411 | wh 1.332553 | reg 0.223531 | dep 1.016560 | dep_sec 1.357578 | dim 0.138118 | rot 1.459010 | rot_sec 1.463116 | amodel_offset 0.611855 | nuscenes_att 0.108925 | velocity 0.173914 | time 2.266667 | tot 6.607903 | hm 0.713827 | wh 1.323456 | reg 0.218254 | dep 0.771256 | dep_sec 0.913282 | dim 0.128063 | rot 1.424550 | rot_sec 1.439894 | amodel_offset 0.592638 | nuscenes_att 0.086257 | velocity 0.187535 | time 2.750000 | 
2022-07-19-20-05: epoch: 24 |tot 7.983254 | hm 0.758960 | wh 1.296934 | reg 0.222732 | dep 1.130299 | dep_sec 1.706880 | dim 0.140771 | rot 1.461478 | rot_sec 1.470037 | amodel_offset 0.677303 | nuscenes_att 0.105317 | velocity 0.179785 | time 2.266667 | tot 6.682649 | hm 0.704766 | wh 1.348685 | reg 0.218234 | dep 0.810085 | dep_sec 0.966501 | dim 0.129400 | rot 1.423579 | rot_sec 1.436844 | amodel_offset 0.585696 | nuscenes_att 0.082084 | velocity 0.190593 | time 2.750000 | 
2022-07-19-20-11: epoch: 25 |tot 8.101096 | hm 0.752571 | wh 1.283202 | reg 0.219772 | dep 1.152447 | dep_sec 1.910180 | dim 0.137429 | rot 1.453448 | rot_sec 1.459361 | amodel_offset 0.612948 | nuscenes_att 0.096167 | velocity 0.178454 | time 2.266667 | tot 7.828758 | hm 0.706675 | wh 1.314727 | reg 0.220224 | dep 1.048292 | dep_sec 1.903570 | dim 0.125420 | rot 1.424520 | rot_sec 1.426921 | amodel_offset 0.572643 | nuscenes_att 0.079866 | velocity 0.189154 | time 2.750000 | 
2022-07-19-20-17: epoch: 26 |tot 7.834474 | hm 0.750788 | wh 1.319822 | reg 0.219742 | dep 1.183450 | dep_sec 1.624324 | dim 0.138077 | rot 1.448359 | rot_sec 1.453817 | amodel_offset 0.611770 | nuscenes_att 0.098742 | velocity 0.173422 | time 2.266667 | tot 6.843159 | hm 0.689744 | wh 1.292366 | reg 0.217718 | dep 0.780682 | dep_sec 1.214891 | dim 0.130835 | rot 1.414585 | rot_sec 1.415788 | amodel_offset 0.583060 | nuscenes_att 0.082230 | velocity 0.184389 | time 2.750000 | 
2022-07-19-20-22: epoch: 27 |tot 7.974036 | hm 0.736488 | wh 1.330071 | reg 0.222749 | dep 1.137176 | dep_sec 1.826018 | dim 0.134805 | rot 1.451142 | rot_sec 1.455815 | amodel_offset 0.612433 | nuscenes_att 0.093187 | velocity 0.171216 | time 2.266667 | tot 6.830110 | hm 0.737138 | wh 1.424521 | reg 0.219406 | dep 0.791942 | dep_sec 1.030849 | dim 0.127898 | rot 1.422371 | rot_sec 1.434177 | amodel_offset 0.631117 | nuscenes_att 0.085934 | velocity 0.206826 | time 2.750000 | 
2022-07-19-20-28: epoch: 28 |tot 7.975256 | hm 0.764668 | wh 1.292988 | reg 0.222513 | dep 1.161921 | dep_sec 1.767649 | dim 0.138593 | rot 1.454989 | rot_sec 1.459397 | amodel_offset 0.602974 | nuscenes_att 0.099003 | velocity 0.174250 | time 2.266667 | tot 7.027073 | hm 0.700752 | wh 1.300448 | reg 0.217908 | dep 0.846472 | dep_sec 1.288249 | dim 0.126975 | rot 1.414417 | rot_sec 1.424552 | amodel_offset 0.620437 | nuscenes_att 0.077855 | velocity 0.179413 | time 2.733333 | 
2022-07-19-20-33: epoch: 29 |tot 7.826481 | hm 0.748258 | wh 1.291357 | reg 0.222285 | dep 1.149974 | dep_sec 1.617059 | dim 0.137485 | rot 1.446004 | rot_sec 1.448948 | amodel_offset 0.659193 | nuscenes_att 0.091812 | velocity 0.176327 | time 2.266667 | tot 7.003994 | hm 0.704036 | wh 1.347954 | reg 0.218230 | dep 0.863157 | dep_sec 1.220729 | dim 0.124101 | rot 1.415318 | rot_sec 1.436707 | amodel_offset 0.615878 | nuscenes_att 0.082120 | velocity 0.188922 | time 2.716667 | 
2022-07-19-20-39: epoch: 30 |tot 8.065486 | hm 0.735508 | wh 1.350649 | reg 0.223299 | dep 1.144361 | dep_sec 1.914478 | dim 0.135273 | rot 1.445275 | rot_sec 1.450378 | amodel_offset 0.615774 | nuscenes_att 0.098095 | velocity 0.167980 | time 2.266667 | tot 7.022449 | hm 0.688183 | wh 1.279089 | reg 0.217129 | dep 0.805895 | dep_sec 1.324068 | dim 0.123695 | rot 1.412371 | rot_sec 1.414117 | amodel_offset 0.645627 | nuscenes_att 0.077492 | velocity 0.185964 | time 2.783333 | 
2022-07-19-20-44: epoch: 31 |tot 7.967670 | hm 0.731385 | wh 1.300978 | reg 0.219471 | dep 1.111380 | dep_sec 1.831402 | dim 0.137522 | rot 1.437274 | rot_sec 1.437320 | amodel_offset 0.671629 | nuscenes_att 0.088991 | velocity 0.171197 | time 2.266667 | tot 6.468325 | hm 0.682394 | wh 1.250145 | reg 0.217148 | dep 0.753199 | dep_sec 0.887772 | dim 0.123527 | rot 1.407234 | rot_sec 1.409341 | amodel_offset 0.608430 | nuscenes_att 0.073450 | velocity 0.180816 | time 2.733333 | 
2022-07-19-20-50: epoch: 32 |tot 7.600761 | hm 0.726128 | wh 1.265266 | reg 0.217306 | dep 1.099849 | dep_sec 1.487663 | dim 0.137427 | rot 1.453343 | rot_sec 1.457170 | amodel_offset 0.634882 | nuscenes_att 0.088814 | velocity 0.171653 | time 2.266667 | tot 6.458834 | hm 0.664978 | wh 1.239920 | reg 0.216964 | dep 0.714918 | dep_sec 0.954322 | dim 0.123170 | rot 1.405637 | rot_sec 1.405611 | amodel_offset 0.601816 | nuscenes_att 0.071288 | velocity 0.176138 | time 2.733333 | 
2022-07-19-20-55: epoch: 33 |tot 7.405612 | hm 0.720245 | wh 1.266456 | reg 0.221334 | dep 1.005747 | dep_sec 1.383622 | dim 0.137383 | rot 1.444946 | rot_sec 1.448114 | amodel_offset 0.657929 | nuscenes_att 0.092773 | velocity 0.166873 | time 2.266667 | tot 8.506093 | hm 0.653630 | wh 1.323679 | reg 0.216648 | dep 0.785251 | dep_sec 2.932677 | dim 0.124661 | rot 1.400791 | rot_sec 1.401951 | amodel_offset 0.611892 | nuscenes_att 0.068734 | velocity 0.177490 | time 2.816667 | 
2022-07-19-21-01: epoch: 34 |tot 7.692704 | hm 0.719701 | wh 1.291621 | reg 0.221616 | dep 1.078985 | dep_sec 1.671893 | dim 0.136160 | rot 1.435858 | rot_sec 1.431390 | amodel_offset 0.611591 | nuscenes_att 0.090719 | velocity 0.165629 | time 2.266667 | tot 6.601922 | hm 0.654708 | wh 1.229156 | reg 0.217355 | dep 0.721569 | dep_sec 1.103352 | dim 0.123463 | rot 1.398138 | rot_sec 1.398052 | amodel_offset 0.615774 | nuscenes_att 0.069469 | velocity 0.177126 | time 2.800000 | 
2022-07-19-21-07: epoch: 35 |tot 7.412340 | hm 0.727117 | wh 1.278420 | reg 0.220302 | dep 1.035835 | dep_sec 1.398134 | dim 0.134695 | rot 1.443408 | rot_sec 1.443291 | amodel_offset 0.628995 | nuscenes_att 0.085688 | velocity 0.167032 | time 2.266667 | tot 6.321750 | hm 0.650252 | wh 1.234134 | reg 0.215049 | dep 0.764551 | dep_sec 0.822368 | dim 0.119778 | rot 1.406439 | rot_sec 1.415089 | amodel_offset 0.554272 | nuscenes_att 0.077027 | velocity 0.173512 | time 2.816667 | 
2022-07-19-21-12: epoch: 36 |tot 8.342866 | hm 0.718588 | wh 1.316432 | reg 0.221946 | dep 1.178508 | dep_sec 2.189404 | dim 0.135481 | rot 1.443768 | rot_sec 1.450381 | amodel_offset 0.606926 | nuscenes_att 0.091462 | velocity 0.174760 | time 2.266667 | tot 7.262252 | hm 0.651425 | wh 1.252652 | reg 0.215637 | dep 0.853775 | dep_sec 1.630670 | dim 0.120920 | rot 1.403697 | rot_sec 1.409521 | amodel_offset 0.611121 | nuscenes_att 0.066887 | velocity 0.173335 | time 2.750000 | 
2022-07-19-21-18: epoch: 37 |tot 7.416324 | hm 0.716076 | wh 1.270208 | reg 0.220983 | dep 1.053204 | dep_sec 1.415765 | dim 0.132558 | rot 1.435798 | rot_sec 1.435573 | amodel_offset 0.630582 | nuscenes_att 0.086191 | velocity 0.162573 | time 2.266667 | tot 6.954355 | hm 0.649204 | wh 1.253667 | reg 0.217188 | dep 0.767639 | dep_sec 1.417933 | dim 0.123192 | rot 1.403158 | rot_sec 1.397856 | amodel_offset 0.604837 | nuscenes_att 0.072789 | velocity 0.175191 | time 2.750000 | 
2022-07-19-21-23: epoch: 38 |tot 7.387681 | hm 0.700118 | wh 1.266412 | reg 0.219294 | dep 0.994956 | dep_sec 1.480123 | dim 0.135987 | rot 1.432101 | rot_sec 1.431067 | amodel_offset 0.627459 | nuscenes_att 0.080454 | velocity 0.159480 | time 2.266667 | tot 6.175701 | hm 0.633959 | wh 1.176996 | reg 0.215529 | dep 0.700254 | dep_sec 0.794579 | dim 0.119756 | rot 1.396569 | rot_sec 1.395505 | amodel_offset 0.567244 | nuscenes_att 0.065322 | velocity 0.169282 | time 2.783333 | 
2022-07-19-21-29: epoch: 39 |tot 7.503418 | hm 0.688341 | wh 1.247669 | reg 0.218914 | dep 1.029567 | dep_sec 1.610755 | dim 0.128603 | rot 1.429751 | rot_sec 1.430112 | amodel_offset 0.597370 | nuscenes_att 0.079683 | velocity 0.165555 | time 2.266667 | tot 6.597094 | hm 0.625657 | wh 1.215596 | reg 0.214724 | dep 0.858384 | dep_sec 1.030221 | dim 0.124963 | rot 1.391446 | rot_sec 1.389925 | amodel_offset 0.599414 | nuscenes_att 0.066092 | velocity 0.174708 | time 2.800000 | 
2022-07-19-21-35: epoch: 40 |tot 7.868625 | hm 0.681424 | wh 1.238505 | reg 0.219873 | dep 1.034816 | dep_sec 1.938360 | dim 0.128941 | rot 1.424916 | rot_sec 1.421695 | amodel_offset 0.665933 | nuscenes_att 0.071497 | velocity 0.157319 | time 2.266667 | tot 7.104254 | hm 0.654611 | wh 1.326370 | reg 0.215116 | dep 0.753850 | dep_sec 1.604024 | dim 0.118581 | rot 1.399542 | rot_sec 1.394135 | amodel_offset 0.591783 | nuscenes_att 0.064537 | velocity 0.175437 | time 2.800000 | 
2022-07-19-21-40: epoch: 41 |tot 7.625219 | hm 0.685428 | wh 1.263239 | reg 0.216144 | dep 1.086363 | dep_sec 1.668241 | dim 0.129176 | rot 1.428261 | rot_sec 1.431622 | amodel_offset 0.606357 | nuscenes_att 0.082392 | velocity 0.164910 | time 2.266667 | tot 6.405405 | hm 0.618757 | wh 1.252977 | reg 0.216165 | dep 0.689150 | dep_sec 1.057898 | dim 0.118966 | rot 1.398331 | rot_sec 1.404866 | amodel_offset 0.537841 | nuscenes_att 0.063612 | velocity 0.174520 | time 2.733333 | 
2022-07-19-21-46: epoch: 42 |tot 7.341006 | hm 0.664877 | wh 1.217013 | reg 0.217597 | dep 0.989775 | dep_sec 1.579894 | dim 0.129783 | rot 1.426855 | rot_sec 1.427201 | amodel_offset 0.539681 | nuscenes_att 0.079558 | velocity 0.164084 | time 2.266667 | tot 6.711482 | hm 0.607915 | wh 1.290540 | reg 0.213890 | dep 0.932406 | dep_sec 1.107265 | dim 0.117068 | rot 1.393958 | rot_sec 1.398237 | amodel_offset 0.581111 | nuscenes_att 0.061191 | velocity 0.169388 | time 2.750000 | 
2022-07-19-21-51: epoch: 43 |tot 7.672173 | hm 0.664745 | wh 1.200908 | reg 0.220407 | dep 1.075714 | dep_sec 1.794567 | dim 0.130008 | rot 1.420417 | rot_sec 1.414408 | amodel_offset 0.596530 | nuscenes_att 0.081034 | velocity 0.154253 | time 2.266667 | tot 6.580391 | hm 0.600712 | wh 1.209043 | reg 0.214868 | dep 0.721981 | dep_sec 1.272012 | dim 0.116096 | rot 1.388086 | rot_sec 1.382556 | amodel_offset 0.537689 | nuscenes_att 0.060619 | velocity 0.164867 | time 2.700000 | 
2022-07-19-21-57: epoch: 44 |tot 7.502729 | hm 0.662486 | wh 1.208270 | reg 0.212683 | dep 1.036922 | dep_sec 1.700379 | dim 0.129062 | rot 1.421951 | rot_sec 1.417233 | amodel_offset 0.567534 | nuscenes_att 0.074355 | velocity 0.159298 | time 2.266667 | tot 6.223920 | hm 0.604017 | wh 1.226849 | reg 0.215066 | dep 0.754447 | dep_sec 0.845796 | dim 0.115626 | rot 1.386224 | rot_sec 1.382420 | amodel_offset 0.568056 | nuscenes_att 0.060211 | velocity 0.169373 | time 2.733333 | 
2022-07-19-22-02: epoch: 45 |tot 7.254479 | hm 0.686982 | wh 1.211670 | reg 0.219685 | dep 1.053743 | dep_sec 1.368189 | dim 0.130423 | rot 1.420994 | rot_sec 1.418154 | amodel_offset 0.605330 | nuscenes_att 0.072850 | velocity 0.156962 | time 2.266667 | tot 6.489277 | hm 0.606577 | wh 1.217785 | reg 0.213868 | dep 0.761961 | dep_sec 1.120226 | dim 0.117084 | rot 1.387815 | rot_sec 1.383452 | amodel_offset 0.535094 | nuscenes_att 0.074077 | velocity 0.167345 | time 2.733333 | 
2022-07-19-22-08: epoch: 46 |tot 7.364021 | hm 0.658326 | wh 1.234617 | reg 0.216807 | dep 0.984282 | dep_sec 1.613671 | dim 0.127029 | rot 1.420391 | rot_sec 1.419845 | amodel_offset 0.577936 | nuscenes_att 0.069214 | velocity 0.153059 | time 2.266667 | tot 6.426223 | hm 0.601572 | wh 1.194206 | reg 0.213571 | dep 0.816450 | dep_sec 1.005402 | dim 0.118058 | rot 1.388300 | rot_sec 1.390787 | amodel_offset 0.545711 | nuscenes_att 0.065718 | velocity 0.161234 | time 2.750000 | 
2022-07-19-22-13: epoch: 47 |tot 6.935142 | hm 0.647643 | wh 1.202336 | reg 0.216123 | dep 0.972247 | dep_sec 1.265608 | dim 0.126279 | rot 1.405548 | rot_sec 1.404393 | amodel_offset 0.548830 | nuscenes_att 0.075089 | velocity 0.153148 | time 2.266667 | tot 6.099724 | hm 0.592532 | wh 1.185908 | reg 0.212299 | dep 0.714908 | dep_sec 0.807177 | dim 0.115468 | rot 1.386662 | rot_sec 1.387445 | amodel_offset 0.546550 | nuscenes_att 0.053971 | velocity 0.164122 | time 2.716667 | 
2022-07-19-22-19: epoch: 48 |tot 6.916762 | hm 0.648002 | wh 1.194661 | reg 0.215880 | dep 0.972089 | dep_sec 1.237966 | dim 0.131188 | rot 1.408056 | rot_sec 1.406411 | amodel_offset 0.547605 | nuscenes_att 0.077067 | velocity 0.153033 | time 2.266667 | tot 6.539960 | hm 0.593461 | wh 1.225711 | reg 0.215043 | dep 0.831244 | dep_sec 1.159058 | dim 0.118151 | rot 1.383492 | rot_sec 1.378170 | amodel_offset 0.519544 | nuscenes_att 0.057288 | velocity 0.161937 | time 2.716667 | 
2022-07-19-22-24: epoch: 49 |tot 7.380663 | hm 0.664820 | wh 1.218478 | reg 0.218452 | dep 0.997991 | dep_sec 1.614788 | dim 0.128490 | rot 1.419089 | rot_sec 1.415071 | amodel_offset 0.584997 | nuscenes_att 0.064726 | velocity 0.150390 | time 2.266667 | 
